market,Rank_1yr,Rank_3yr,Rank_5yr,Rank_10yr,Trajectory_Score,Rent_Growth_1yr,Rent_Growth_5yr_Ann,Rent_Growth_10yr_Ann
Reading - PA,34.0,18.0,16.0,48.0,14.0,0.023586745683248145,0.029243201169879107,0.02672631841243467
Boston - MA,108.0,135.0,140.0,123.0,15.0,0.014110995913044322,0.02309214648331004,0.02328212909259819
Manchester - NH,49.0,30.0,33.0,66.0,17.0,0.02165023881983541,0.02852556291927444,0.026145571659299538
Salem - OR,15.0,28.0,31.0,34.0,19.0,0.026149589410472407,0.02856788803610022,0.027268914463675076
Lehigh Valley - PA,50.0,36.0,41.0,70.0,20.0,0.021591912484503428,0.028303267739062887,0.026012482352815836
Cincinnati - OH,54.0,49.0,69.0,74.0,20.0,0.021270517992708404,0.027438681805751264,0.025874326948290838
Anchorage - AK,97.0,119.0,120.0,118.0,21.0,0.014710815763178342,0.024542575721345328,0.02382139319508081
Ogden - UT,76.0,103.0,107.0,97.0,21.0,0.01796051591448866,0.02560538892631259,0.02512866609440989
Springfield - MA,6.0,4.0,5.0,28.0,22.0,0.02955287934276063,0.030814316014670107,0.02752616361422988
Providence - RI,37.0,19.0,23.0,64.0,27.0,0.023294768834274615,0.028831014968143442,0.026241680186242844
Lancaster - PA,24.0,15.0,19.0,51.0,27.0,0.024476035085646553,0.029143870737194266,0.026664462229915697
Poughkeepsie - NY,7.0,5.0,7.0,35.0,28.0,0.0290285923523792,0.030411003121294966,0.027176650027089133
Provo - UT,46.0,67.0,86.0,76.0,30.0,0.022201374041858735,0.026730042247322006,0.02583508062094131
Harrisburg - PA,57.0,40.0,55.0,88.0,31.0,0.020993525613729247,0.027884798620323004,0.02543944909843332
McAllen - TX,45.0,65.0,87.0,83.0,38.0,0.022203658399967185,0.02669059195399459,0.02559855517019849
Pittsburgh - PA,107.0,140.0,149.0,149.0,42.0,0.014188404316606507,0.02037569227540037,0.019284025671759464
Indianapolis - IN,27.0,33.0,37.0,69.0,42.0,0.024134824000635158,0.028405791226976396,0.026014735619661167
Saint Louis - MO,90.0,128.0,138.0,132.0,42.0,0.015673390140516608,0.023370977418081695,0.02238694309435152
Tucson - AZ,67.0,97.0,111.0,110.0,43.0,0.0193577597847836,0.02537540999442056,0.02417267378710508
Hartford - CT,71.0,64.0,93.0,116.0,45.0,0.01882396137232112,0.026531809146414398,0.023880926174702166
Portland - ME,22.0,17.0,27.0,67.0,45.0,0.02462475619247173,0.028734826897517607,0.02609265734109134
York - PA,42.0,38.0,61.0,87.0,45.0,0.022584592087888655,0.027809288599168314,0.02545047512924148
Corpus Christi - TX,84.0,126.0,132.0,130.0,46.0,0.016705612917926604,0.02376213963278495,0.022479308252291386
Salisbury - MD,32.0,24.0,39.0,79.0,47.0,0.023727011724862024,0.028322992147097548,0.025653499587965367
Beaumont - TX,48.0,63.0,84.0,96.0,48.0,0.021871025488879203,0.026804399636972898,0.025188898549717953
